0 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Well said James and absolutely correct! | 2
129 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump you havent genuinely prayed in your life except for thanking God for those "bone spurs." | 0
130 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Fuck you and your pathetic thoughts and prayers. | 0
131 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Thoughts and prayers 😂 That had to be on purpose. | 1
132 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump  https://t.co/uCtQAsQgpi | 0
133 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Nice to know you pick and choose what tragedies to acknowledge and which not to | 0
134 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Ferme ta gueule, putain! | 1
135 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump You should work on your listening skills...thoughts and prayers are pure BS.  You are worthless. | 0
136 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump  https://t.co/nCpUOLF2s9 | 0
137 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump prayers arent going to do anything. the magic man isnt going to do anything. YOURE the one whos… https://t.co/kdqEnsZTI8 | 0
138 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Show some respect for the people who are involved in this. Keep your idiotic hatred out of this an… https://t.co/4WCqHyQ0Ss | 0
139 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump  https://t.co/pYNjD1dLp0 | 0
140 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Thoughts and prayers from you are meaningless. You looked the Parkland students in the eyes and li… https://t.co/OobIjP7Tvm | 0
141 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Well I guess there’s gonna be even more demand for gun control when the main thing is the need for… https://t.co/Flr6pJU0UK | 1
142 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump We dont need thoughts and prayers we need you to do something about this stuff please | 1
143 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Thoughts and prayers do not help anyone.  Nor would I want the likes of you (cheating, racist, etc… https://t.co/WpCRUye2qV | 0
144 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Too soon to talk gun control. Too soon.  #impeachment #donthecon | 0
145 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Do something fuckface | 0
146 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump https://t.co/wmcH4TJTSO | 1
147 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Thoughts and prayers are sent, job done | 0
148 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump  https://t.co/b5TxjG0BDT | 1
149 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Of course, thoughts and prayers dont do a damn thing. No one cares about your thoughts and prayer… https://t.co/pp2OiOyQaI | 0
150 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Good for this guy standing up for his rights AS AN AMERICAN CITIZEN.  I don’t visit Cali anymore and won’t… https://t.co/yvPLoJFqNv | 2
151 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews I don’t get how he came to this country 45 yrs ago; his story is probably half told. 45 yrs, even 30 yrs a… https://t.co/Bme1Fqi7Ii | 0
152 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Its great to see real Californians getting their opinion out there rather than our liberal government pus… https://t.co/TgsgUZRgxj | 2
153 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews ENTER LEGALLY  \nProperly Apply for Processing and Vetting to be a Citizen. \n\nSurrender Citizenship of nati… https://t.co/25WQKxxPvJ | 1
154 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Right on! | 2
155 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews #maga 👏👏🇺🇸🇺🇸🇺🇸🇺🇸 | 2
156 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Amen. | 2
157 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews #NoSanctuaryCities What about the people who became citizens right way!? No free rides in this country! | 0
158 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews This...this is the guy.  This is the guy and his is the voice. 🇺🇸 | 2
159 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Agreed no debate follow the laws like this man | 2
160 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Thats good that he did this, but the DACA/Dreamers were not allowed to through the process to become citizens. | 1
161 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews ILLEGAL immigration is the biggest slap in the face to all of the LEGAL immigrants that are true Americans | 2
162 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews @WeThePeoplesss This is a good man | 2
163 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Finally! Say what needs to be said! He should be a spokesman for the movement! | 2
164 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Patriot | 2
165 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Awesome! I’ve been saying that all along. I came to this country 50 years ago, 1st thing that we did was m… https://t.co/GQ9wPegAFK | 2
166 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews  https://t.co/fchWdVDe0M | 2
167 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews My grandparents did the same! They would be livid to see all these Hispanics coming over here and not tryi… https://t.co/rSy2CTlXea | 2
168 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Awesome spread the word. | 2
169 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews That about covers it. 👍 | 2
170 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews @mschlapp Amen brother 🙏🏻  Anyone who thinks otherwise is a complete loser!  #EndSanctuaryLaw | 2
171 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews This is what we need ppl , that represent our president speak and send the message. 🇺🇸 | 2
172 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews What this all boils down to is desire.  Just how much you work for something shows just how much you want… https://t.co/mLc3681Lt7 | 1
173 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews @bronxhoops2033 He’s right. We’re sick of this. I came here 40 years ago as a teenager & got my green card… https://t.co/mZPYm9XUuT | 2
174 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews YES! | 2
175 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews You sir are the American Dream! All others please, take this mans example. Find out what you have to do and do it | 2
176 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews It’s certainly is amazing that this man stands up for legalized immigration. I wonder why  DACA children h… https://t.co/6IIDTmI6zp | 2
177 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews The Dems want as many illegals to vote as they can get. They know they are going down the shitter lo? | 1
178 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews That’s how it is to be done. @JerryBrownGov @BarackObama @KamalaHarris @SpeakerRyan @ChelseaClinton… https://t.co/tPjVeZjCyy | 2
179 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews What better advocate than someone who has done it the right way. Bless him for standing up. | 2
180 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews A true American. Came to this country through RULE OF LAW & became a true citizen. Amen Amen 🙏 No DACA, No entitlements, Deport. | 2
181 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews I applaud you and your mother! Well done! | 2
182 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Now that’s an immigrant! | 2
183 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Exactly! He came here the right way just like my gf family! The free ticket is over | 2
184 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews @doyouCmenao Respect for this man. He is Absolutely right. If you respect the country respect the process.… https://t.co/ce5VFJhh7Z | 2
185 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Great, with pride. Hes a great example. | 2
186 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews @sweetpea2k That’s the way you do it! #ItWorks #AmericaFirst #NoDACADeal | 2
187 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Thank you American Citizen. | 2
188 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Hes 100% right. My parents, siblings, my uncle, his family came here in the 60s. No sanctuary, no welfare… https://t.co/owZzdHgGD0 | 2
189 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Well said | 2
190 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews @LaurenN72093467 HATER! 😲 | 1
191 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Totally agree with him | 2
192 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews - BINGO! | 2
193 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Amen!  My Great Grandfather had to fight in WWI to get his citizenship | 2
194 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews God Bless this gentleman!! 👏🏻👏🏻 | 2
195 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews And the minute he takes your parking spot, he wont be called an effin American.... | 0
196 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Love that guy | 2
197 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews welcome to American to this true American & his true American Mother,they came to America because they wan… https://t.co/eaWI6Yhx8v | 2
198 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Thats always the case... One wave of immigrants hate the next... So he wasnt offered an easier way so he… https://t.co/4i4tcSmynb | 0
199 | Fox News | Escondido man: "I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered s… https://t.co/VGITOtzgDL | @FoxNews Do it or get kicked out | 0
200 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews I have never gotten into a car accident, thus all traffic safety laws are infringing on my rights to drive… https://t.co/TBwy8Ky6Ov | 0
201 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @cnn\nICYMI | 1
202 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Definitely gets a RT from me😎 | 2
203 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews -People conceive and commit violence. \n-The weapons available to them determine their effectiveness at vio… https://t.co/1XX5L80MGr | 0
204 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Id watch his show 👏 | 2
205 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews The NRA advocates to arm BLIND people. Is that responsible? BLIND people! Why? “Because it’s their right”.… https://t.co/Q8VsEAWOeT | 0
206 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Right on Brother,  such true words. | 2
207 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Im on his team #logic | 2
208 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews 😩"When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citizen… https://t.co/QmPLzayQIh | 0
209 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @andersonDrLJA Hes being charged with capital murder. T\nProsecutors are seeking the death penalty. How ar… https://t.co/1Ip5rpe9n2 | 0
210 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @GavinHumble Amen! | 2
211 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Wow powerful and so true | 2
212 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews That’s is the majority speaking so you liberals better get that thru your thick stupid heads | 2
213 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews I myself am fed up being the first one taxed and the last considered too, #Amen #MAGA #winning… https://t.co/lTTqqrHplM | 2
214 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @johncardillo I’m with him!! 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼 | 2
215 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews This is so truthful.... | 2
216 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Thats right! | 2
217 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @johncardillo Absolutely am in awe of the TRUTH this man articulated so beautifully. | 2
218 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @johncardillo 👏👏👏👏👏👏👏👏👏👏👏👏 https://t.co/AcTephUg7H | 2
219 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Any chance of getting a link to the full video? | 1
220 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews This is a helluva citizen, everything he said is right on point! 👏👏👏👏👏\nLove his conviction. | 2
221 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @jpeterson0417 | 1
222 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews This guy forever. | 2
223 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Give this guy some speaking gigs! If some idiots are paying Hillary Clinton 25k to drool this guy deserves to be paid as well! | 2
224 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews This gentleman also destroys another leftist bullshit story...that people have problems with black exercis… https://t.co/cT68qQnStM | 2
225 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Amen | 2
226 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews AMEN | 2
227 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews That guys is awesome | 2
228 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews What is the guy blowing in the wind about. No ones taking your guns. There is no way a supreme court full… https://t.co/GCIx2WYBvg | 0
229 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @wrs1260 I saw him this morning and it just made me proud. The silent majority needs to get loud. I know w… https://t.co/YJ8QLsIQD0 | 2
230 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Exactly! | 2
231 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews He is absolutely correct. Every single American law abiding gun owner is personally insulted when we are b… https://t.co/epS62hC7in | 2
232 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Amen, Patriots a great example of passion, conviction and Leadership, we need to embrace his message and t… https://t.co/ZGFifoSpfj | 2
233 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @sunflowerwsnc The GOP needs more men like this to run for office , clear tough and unafraid. | 2
234 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @TheSteveKon Amen!!!  I hope you’re my neighbor if and when I move there!  Seems the legal, taxpayers are the ones getting shafted. | 2
235 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Hes 100% right | 2
236 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Thats 100 percent accurate. More of us need to make our voices heard. Too many preople blaming guns and good people. | 2
237 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews @DebraMMason1 Dam right!! | 2
238 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Hey | 2
239 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews This guy is my new hero. | 2
240 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Amen brother! | 2
241 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Yes! The blame squarely lies with the shooter, whether hes sane or insane or suicidal or angry or racist… https://t.co/S48M81Flk6 | 0
242 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Hes absolutely right. | 2
243 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews  https://t.co/KMWDBpn2Tc | 2
244 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews 👏👏👏Amen. | 2
245 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Amen, big Brother. | 2
246 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Every city that has the most gun control laws has the most gun crime. How does passing more gun laws help… https://t.co/2rrkX3e3lb | 2
247 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews ❤️🇺🇸💙 #MarkRobinsonSpeaks4Me | 2
248 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Why don’t these so-called law abiding gun owners stand up to the NRA and fight with us? Rather, they let N… https://t.co/KgY3Ru6u4c | 0
249 | Fox News | Gun owner: "When are you all gonna start standing up for the majority?...Im the majority! Im a law-abiding citize… https://t.co/GAlaSr7Y85 | @FoxNews Beyond fabulous. | 2
