0 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump  https://t.co/PD908F2M1Y | 1
160 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @Qumaden @BarackObama @realDonaldTrump And we all know why. | 2
161 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump But this cop was a coward and the other didnt act stupidly?  so its understandable, no? | 0
162 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @Andy @BarackObama @realDonaldTrump I think we all know who the cowards are. Everyday my nephew puts… https://t.co/7r5k83TGnw | 2
163 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump No lives were on the line at Cambridge. | 1
164 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Thats because he is supplying them with the military weapons they SO… https://t.co/80WWE4R0lT | 2
165 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @JoyAnnReid @BarackObama @realDonaldTrump It’s bizzaro world | 2
166 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump #WhitePriviledge | 2
167 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @DawnBehen @BarackObama @realDonaldTrump Stupidity across the board. From cops to congress, from the… https://t.co/w1h8VGm5oz | 1
168 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @AprilDRyan @BarackObama @realDonaldTrump Difference is Obama’s was wrong- guy was breaking into his… https://t.co/DG4x1QFU6s | 0
169 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @JoyAnnReid @BarackObama @realDonaldTrump The difference is Obama was wrong. The cop acted exactly a… https://t.co/0ImTyA67S2 | 0
170 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Makes you wonder why you jumped on the negative Obama train | 0
171 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @AprilDRyan @BarackObama @realDonaldTrump What else is new. | 1
172 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Maybe because the Florida was an actual coward and no one alive is cal… https://t.co/DypcGrDlpt | 0
173 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @Andy @BarackObama @realDonaldTrump You can not be comparing apples to oranges! This was a freaking… https://t.co/aRKciFzCjS | 0
174 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Substantial difference between Obama’s racist comment and Trumps comme… https://t.co/56hooU3N82 | 0
175 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Figures. Abhorrently. | 1
176 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @PureSportsTX @BarackObama @realDonaldTrump The old double standard | 2
177 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump This is a horrible post, with two completely different examples. One w… https://t.co/fj45kVcnL2 | 0
178 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump  https://t.co/MQW1kNiwBm | 1
179 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Ive seen plenty of Law Enforcement act as Cowards. Need retrained Or… https://t.co/piQxUNhcTo | 0
180 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump If it needs to be explained to you what the difference is, then you pr… https://t.co/YC7gTE3TZS | 0
181 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @Andy @BarackObama @realDonaldTrump Are the events identical? Smells like a straw man. | 1
182 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump  https://t.co/erjOKTEmh8 | 1
183 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump I’d say the difference is theMass officer actually did his job correct… https://t.co/K4rEYLNLBH | 0
184 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @namenzie @BarackObama @realDonaldTrump I wonder what the difference is 🤔 | 1
185 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump You know .........It’s called a #DoubleStandard | 2
186 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Serious question, what did the cop that "acted stupidly" do? Which cop was Obama referring to? | 1
187 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Thinly veiled racism. 😔 | 2
188 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @PeteDominick @BarackObama @realDonaldTrump Racism?!? The coward in question hid while children got… https://t.co/7NNIY103Cz | 0
189 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @Andy @BarackObama @realDonaldTrump That is very interesting... I didn’t realize that law enforcemen… https://t.co/5kq7D4KahZ | 2
190 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @FPWellman @BarackObama @realDonaldTrump This cop wasnt profiling a person of color, so.... theres… https://t.co/NwcEeP5bjK | 0
191 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @TiffanyDCross @BarackObama @realDonaldTrump Ain’t that something... https://t.co/zC2URlW1Az | 1
192 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Because one officer did his job and the other didn’t. Way to keep the… https://t.co/Ulp8PIM1jH | 0
193 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump What a damn joke who we choose to criticize in this country-the consti… https://t.co/pKdnOODhOm | 2
194 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump A Tale of Two Standards 🧐 | 2
195 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Not all blue lives matter | 2
196 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @galbrg @BarackObama @realDonaldTrump the white wall of discrimination....... | 2
197 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Ive got three guesses about why that is and Democrat isnt one. | 0
198 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Interesting isnt it? | 2
199 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump, Thats that part where him says "Make America Great Again".#AfoolintheWHandsomeloveit.disaster | 2
200 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade OMG Tearrrrrrrsssssssss!  Do you see that precious beautiful innocent face!  How can anyone harm people… https://t.co/7tQNvBlITL | 
201 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Ok then ARTICULATE a message. Not Trump is a racist and the NRA is responsible for all the murders in t… https://t.co/FzeQKs6Ds0 | 
202 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @sarahchad_ Well said! | 
203 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @airmax9600 | 
204 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Another lifer joins the great pyre of love in our hearts and minds ever burning never flickering for we… https://t.co/ONUW60V3Qw | 
205 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade D.Wade...you cant shut up and dribble because you riding the pine....so why dont you just shut up..thi… https://t.co/ald9he6SbP | 
206 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade May God grant you peace | 
207 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @lauraingle tell the Other Laura we will not Shut up in dribble Snice I can’t tag her. Thanks | 
208 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade This poor young man who will never be able to fulfill his Dreams. His poor Family who is suffering GREA… https://t.co/4FWKDWCFA1 | 
209 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Joaquin Oliver you will not be forgotten! @DwyaneWade thank u! | 
210 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade He looked like a kid that was cool with everyone #rip | 
211 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Very TRAGIC! Thank you for your support!✌🏻♥️ | 
212 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Heartbreaking😢 I can’t even imagine how awful this community families & students feel AS ALL OF YOU FIN… https://t.co/VqnfbsnoxG | 
213 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Thank you for being such a nice man. The world needs more people like you. | 
214 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Damn straight! We’ve got this one like a dog with a bone and we’re not letting go! #March4OurLives #March1NRABoycott | 
215 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade 😢 | 
216 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade I would have been no good... thats deep..If you ever wanted to see a grown man crying like a baby. Thi… https://t.co/pqdAB6xNf0 | 
217 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Ty DW | 
218 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Im sorry for your loss, our world is going downhill extremely fast, so sad | 
219 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade https://t.co/S8njZllGdG | 
220 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Best tweet by athlete ever seen! | 
221 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade MAY GOD BLESS HIS SOUL | 
222 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Goddamn that was powerful | 
223 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @dwyanewade You donating your salary to the victims? Didnt think so.... Talk is cheap my friend | 
224 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade You are A GOOD MAN | 
225 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Never stop speaking out for your beliefs and for the people that believe in you, no matter what. | 
226 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade You’re a very good man as well as a basketball champion. | 
227 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade I’m so sorry.... I retweeted... I think it’s really important to put a face to the lives lost.  please… https://t.co/jRmOyZkwuN | 
228 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @jonlovett thank you for that kind gesture, im sure it meant a lot to the people who loved him. | 
229 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade  https://t.co/QQLjXLoC8Q | 
230 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @williamlegate RIP❤️. You were too young to leave so tragically. | 
231 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @EricBoehlert Thank you. | 
232 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Never shut up! | 
233 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Thank you for sharing! We will change this world if we dont SHUT up! | 
234 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @T0ny_Yay0 | 
235 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade So sorry for your loss | 
236 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @McSorley_IX And you should not shut up and dribble. Build bridges. Learn about diversity. Diversity of… https://t.co/aobfGHI1JM | 
237 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Dont know if youve seen this. But amplifying it may help this young mans friends in their effort you… https://t.co/QUIfMzSFbT | 
238 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade It is the @GOP congress old farts who are babbling and dribbling. #VoteBlue2018 #ElectNew2018 | 
239 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @ArchieBradley7 Here’s an idea for you @DwyaneWade : get informed from multiple sources to get all side… https://t.co/yumAta0NhC | 
240 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade This shows how big your heart is @DwyaneWade . Not everyone shows support towards their fans. 👏👏👏👏👏 | 
241 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade I dont even know which ball sport you play....but thank you for speaking up publicly... | 
242 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade This hurt so much to read, Im balling. Thank you for refusing to "stick to sports " | 
243 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade We will change things for Joaquin and the others. We are determined this time! | 
244 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade Bless All of the children | 
245 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @DuaneMarlane 😢😢😢there are no appropriate words...😢 | 
246 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @Chefdad2000 Thats my name too. | 
247 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade May he RIP...God bless | 
248 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade #NRABoycott of @Amazon & @FedEx | 
249 | DWade | This is Joaquin Oliver. He was one of the 17 young lives that were lost tragically at Douglas HighSchool in Parklan… https://t.co/blkOJbTh4R | @DwyaneWade @jaketapper R.I.P. Joaquin.  Your classmates are fighting that your tragic death not be in vain. | 
